tanggal,id_komoditas,id_pasar,harga,nama_komoditas,satuan
2022-01-14,3,1,20000,Cabai Merah Keriting,kg
2022-01-14,4,1,20000,Cabai Merah Besar,kg
2022-01-14,5,1,40000,Cabai Rawit Merah,kg
2022-01-14,6,1,35000,Cabai Rawit Hijau,kg
2022-01-14,7,1,25000,Bawang Merah,kg
2022-01-14,13,1,11000,Tepung Terigu,kg
2022-01-14,14,1,40000,Daging Ayam Ras,kg
2022-01-14,15,1,23000,Telur Ayam Ras,kg
2022-01-14,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-14,22,1,3000,Mie Instan,bungkus
2022-01-14,23,1,26000,Bawang Putih Honan,kg
2022-01-14,24,1,28000,Bawang Putih Kating,kg
2022-01-14,26,1,10000,Susu Kental Manis,kg
2022-01-14,29,1,65000,Daging Ayam Kampung,kg
2022-01-14,30,1,42000,Telur Ayam Kampung,kg
2022-01-17,1,1,9000,Beras Medium,kg
2022-01-17,2,1,10000,Beras Premium,kg
2022-01-17,3,1,25000,Cabai Merah Keriting,kg
2022-01-17,4,1,23000,Cabai Merah Besar,kg
2022-01-17,5,1,40000,Cabai Rawit Merah,kg
2022-01-17,6,1,38000,Cabai Rawit Hijau,kg
2022-01-17,7,1,23000,Bawang Merah,kg
2022-01-17,13,1,11000,Tepung Terigu,kg
2022-01-17,14,1,40000,Daging Ayam Ras,kg
2022-01-17,15,1,22000,Telur Ayam Ras,kg
2022-01-17,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-17,22,1,3000,Mie Instan,bungkus
2022-01-17,23,1,26000,Bawang Putih Honan,kg
2022-01-17,24,1,28000,Bawang Putih Kating,kg
2022-01-17,26,1,10000,Susu Kental Manis,kg
2022-01-17,29,1,65000,Daging Ayam Kampung,kg
2022-01-17,30,1,42000,Telur Ayam Kampung,kg
2022-01-18,1,1,0,Beras Medium,kg
2022-01-18,2,1,0,Beras Premium,kg
2022-01-18,3,1,0,Cabai Merah Keriting,kg
2022-01-18,4,1,0,Cabai Merah Besar,kg
2022-01-18,5,1,0,Cabai Rawit Merah,kg
2022-01-18,6,1,0,Cabai Rawit Hijau,kg
2022-01-18,7,1,0,Bawang Merah,kg
2022-01-18,13,1,0,Tepung Terigu,kg
2022-01-18,14,1,0,Daging Ayam Ras,kg
2022-01-18,15,1,0,Telur Ayam Ras,kg
2022-01-18,16,1,0,Daging Sapi Paha Belakang,kg
2022-01-18,22,1,0,Mie Instan,bungkus
2022-01-18,23,1,0,Bawang Putih Honan,kg
2022-01-18,24,1,0,Bawang Putih Kating,kg
2022-01-18,26,1,0,Susu Kental Manis,kg
2022-01-18,29,1,0,Daging Ayam Kampung,kg
2022-01-18,30,1,0,Telur Ayam Kampung,kg
2022-01-19,1,1,9000,Beras Medium,kg
2022-01-19,2,1,10000,Beras Premium,kg
2022-01-19,3,1,25000,Cabai Merah Keriting,kg
2022-01-19,4,1,23000,Cabai Merah Besar,kg
2022-01-19,5,1,40000,Cabai Rawit Merah,kg
2022-01-19,6,1,38000,Cabai Rawit Hijau,kg
2022-01-19,7,1,23000,Bawang Merah,kg
2022-01-19,13,1,11000,Tepung Terigu,kg
2022-01-19,14,1,40000,Daging Ayam Ras,kg
2022-01-19,15,1,22000,Telur Ayam Ras,kg
2022-01-19,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-19,22,1,3000,Mie Instan,bungkus
2022-01-19,23,1,26000,Bawang Putih Honan,kg
2022-01-19,24,1,28000,Bawang Putih Kating,kg
2022-01-19,26,1,12000,Susu Kental Manis,kg
2022-01-19,29,1,65000,Daging Ayam Kampung,kg
2022-01-19,30,1,42000,Telur Ayam Kampung,kg
2022-01-20,1,1,9000,Beras Medium,kg
2022-01-20,2,1,10000,Beras Premium,kg
2022-01-20,3,1,25000,Cabai Merah Keriting,kg
2022-01-20,4,1,23000,Cabai Merah Besar,kg
2022-01-20,5,1,40000,Cabai Rawit Merah,kg
2022-01-20,6,1,38000,Cabai Rawit Hijau,kg
2022-01-20,7,1,23000,Bawang Merah,kg
2022-01-20,13,1,11000,Tepung Terigu,kg
2022-01-20,14,1,40000,Daging Ayam Ras,kg
2022-01-20,15,1,22000,Telur Ayam Ras,kg
2022-01-20,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-20,22,1,3000,Mie Instan,bungkus
2022-01-20,23,1,26000,Bawang Putih Honan,kg
2022-01-20,24,1,28000,Bawang Putih Kating,kg
2022-01-20,26,1,12000,Susu Kental Manis,kg
2022-01-20,29,1,65000,Daging Ayam Kampung,kg
2022-01-20,30,1,42000,Telur Ayam Kampung,kg
2022-01-21,1,1,9000,Beras Medium,kg
2022-01-21,2,1,10000,Beras Premium,kg
2022-01-21,3,1,25000,Cabai Merah Keriting,kg
2022-01-21,4,1,23000,Cabai Merah Besar,kg
2022-01-21,5,1,40000,Cabai Rawit Merah,kg
2022-01-21,6,1,38000,Cabai Rawit Hijau,kg
2022-01-21,7,1,23000,Bawang Merah,kg
2022-01-21,13,1,11000,Tepung Terigu,kg
2022-01-21,14,1,40000,Daging Ayam Ras,kg
2022-01-21,15,1,22000,Telur Ayam Ras,kg
2022-01-21,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-21,22,1,3000,Mie Instan,bungkus
2022-01-21,23,1,26000,Bawang Putih Honan,kg
2022-01-21,24,1,28000,Bawang Putih Kating,kg
2022-01-21,26,1,12000,Susu Kental Manis,kg
2022-01-21,29,1,65000,Daging Ayam Kampung,kg
2022-01-21,30,1,42000,Telur Ayam Kampung,kg
2022-01-24,1,1,9000,Beras Medium,kg
2022-01-24,2,1,10000,Beras Premium,kg
2022-01-24,3,1,30000,Cabai Merah Keriting,kg
2022-01-24,4,1,28000,Cabai Merah Besar,kg
2022-01-24,5,1,30000,Cabai Rawit Merah,kg
2022-01-24,6,1,30000,Cabai Rawit Hijau,kg
2022-01-24,7,1,21000,Bawang Merah,kg
2022-01-24,13,1,11000,Tepung Terigu,kg
2022-01-24,14,1,38000,Daging Ayam Ras,kg
2022-01-24,15,1,20000,Telur Ayam Ras,kg
2022-01-24,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-24,22,1,3000,Mie Instan,bungkus
2022-01-24,23,1,26000,Bawang Putih Honan,kg
2022-01-24,24,1,28000,Bawang Putih Kating,kg
2022-01-24,26,1,12000,Susu Kental Manis,kg
2022-01-24,29,1,65000,Daging Ayam Kampung,kg
2022-01-24,30,1,42000,Telur Ayam Kampung,kg
2022-01-25,1,1,9000,Beras Medium,kg
2022-01-25,2,1,10000,Beras Premium,kg
2022-01-25,3,1,30000,Cabai Merah Keriting,kg
2022-01-25,4,1,28000,Cabai Merah Besar,kg
2022-01-25,5,1,30000,Cabai Rawit Merah,kg
2022-01-25,6,1,30000,Cabai Rawit Hijau,kg
2022-01-25,7,1,21000,Bawang Merah,kg
2022-01-25,13,1,11000,Tepung Terigu,kg
2022-01-25,14,1,38000,Daging Ayam Ras,kg
